Index,Försäljningspris,Säljare,Bränsle,Växellåda,Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Motorstorlek,Datum_i_trafik,Märke,Modell
1,"259,000 kr",Företag,Bensin,Automat,"  9,985 ",2019,Kombi,Tvåhjulsdriven,192,Grå,1969,6/12/2018,Volvo,V90
2,"289,000 kr",Företag,Bensin,Automat,"  9,400 ",2019,SUV,Fyrhjulsdriven,191,Grå (Osmium Grå Metallic ),1969,19/6/2019,Volvo,XC40
3,"17,000 kr",Privat,Bensin,Manuell,"  43,000 ",2004,,Tvåhjulsdriven,141,Röd,2435,25/6/2003,Volvo,V70
4,"28,900 kr",Företag,Bensin,Manuell,"  20,798 ",2004,Sedan,Tvåhjulsdriven,141,Ljusgrå (Grå),2435,9/5/2003,Volvo,S60
5,"61,997 kr",Privat,Bensin,Automat,"  2,840 ",2022,SUV,Tvåhjulsdriven,130,Svart,1477,2/6/2022,Volvo,XC40
6,"15,000 kr",Privat,Bensin,Manuell,"  22,521 ",2004,Kombi,Tvåhjulsdriven,164,Grå,1948,24/6/2003,Volvo,V40
7,"227,300 kr",Företag,Bensin,Automat,"  15,837 ",2018,Kombi,Tvåhjulsdriven,255,Svart,1969,1/9/2017,Volvo,V90
8,"119,900 kr",Företag,Bensin,Manuell,"  15,839 ",2015,Halvkombi,Tvåhjulsdriven,120,Vit,1596,8/9/2014,Volvo,V40
9,"12,000 kr",Privat,Bensin,Manuell,"  28,857 ",1998,,Tvåhjulsdriven,145,Blå,2435,22/8/1997,Volvo,V70
10,"334,900 kr",Företag,Bensin,Automat,"  5,062 ",2020,SUV,Tvåhjulsdriven,253,Vit,1969,24/7/2019,Volvo,XC60
11,"319,900 kr",Företag,Bensin,Automat,"  4,960 ",2021,Kombi,Tvåhjulsdriven,200,Vit,1969,25/11/2020,Volvo,V60
12,"344,900 kr",Företag,Bensin,Automat,"  3,100 ",2021,SUV,Tvåhjulsdriven,131,Röd,1477,1/3/2021,Volvo,XC40
13,"509,000 kr",Företag,Diesel,Automat,"  17,282 ",2021,SUV,Fyrhjulsdriven,238,Svart,1969,11/2/2021,Volvo,XC90
14,"264,500 kr",Företag,Diesel,Automat,"  9,650 ",2020,Kombi,Tvåhjulsdriven,192,Silver,1969,26/3/2020,Volvo,V90
15,"394,500 kr",Företag,Diesel,Automat,"  4,046 ",2023,SUV,Tvåhjulsdriven,200,Svart,1969,22/12/2022,Volvo,XC60
16,"379,500 kr",Företag,Diesel,Automat,"  11,984 ",2022,SUV,Fyrhjulsdriven,200,Svart,1969,9/9/2021,Volvo,V90 Cross Country
17,"229,900 kr",Privat,Diesel,Automat,"  12,460 ",2016,Kombi,Tvåhjulsdriven,200,Svart,1969,4/4/2016,Volvo,V70
18,"217,900 kr",Företag,Diesel,Automat,"  7,485 ",2018,Coupé,Tvåhjulsdriven,191,Vit,1969,17/11/2017,Volvo,V60
19,"185,000 kr",Privat,Diesel,Automat,"  11,607 ",2018,Kombi,Tvåhjulsdriven,150,Svart,1969,2/2/2018,Volvo,V90
20,"29,500 kr",Privat,Diesel,Automat,"  61,900 ",2013,Kombi,Tvåhjulsdriven,116,Vit,1560,23/10/2012,Volvo,V70
